product_id,product_name,category,original_price,discount_percent,final_price,rating,num_reviews,interest_rate,in_stock,product_url,image_url,platform
RT0001,Electronics Product,Electronics,5204.11,27,3799.0,4.2,3822,0.12,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTM2MTYxMTYyMTk0OTkwOjE3NzMyODk3MzM6c3BfYXRmOjMwMDgxNTY5NTM0MTkzMjo6MDo6&url=%2FStone-1200-Pro-Signature-Bluetooth%2Fdp%2FB0FLYDHYY4%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bspeaker%26qid%3D1773289733%26sr%3D8-1-spons%26aref%3DJyoextKCmt%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=JyoextKCmt&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81y8cmMBngL._AC_UY218_.jpg,Amazon
RT0002,Electronics Product,Electronics,2172.83,8,1999.0,4.2,2225,0.12,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTM2MTYxMTYyMTk0OTkwOjE3NzMyODk3MzM6c3BfYXRmOjMwMDg1ODEzNzM1OTAzMjo6MDo6&url=%2FPortronics-SoundDrum-Portable-Bluetooth-Handsfree%2Fdp%2FB09V2J596T%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bspeaker%26qid%3D1773289733%26sr%3D8-2-spons%26aref%3DVeEJJiYvdY%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=VeEJJiYvdY&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71zoEeTAszL._AC_UY218_.jpg,Amazon
RT0003,Electronics Product,Electronics,913.41,18,749.0,3.9,3788,0.12,True,https://www.amazon.in/ZEBRONICS-35-Portable-Bluetooth-Radiators/dp/B0DJ3FFC8R/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-3,https://m.media-amazon.com/images/I/71Gn7eWoLUL._AC_UY218_.jpg,Amazon
RT0004,Electronics Product,Electronics,803.45,13,699.0,3.3,3748,0.12,True,https://www.amazon.in/boAt-Bluetooth-Signature-Playback-Assistant/dp/B0F48NC7MZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-4,https://m.media-amazon.com/images/I/81aQh6koT9L._AC_UY218_.jpg,Amazon
RT0005,Electronics Product,Electronics,548.35,9,499.0,3.8,4489,0.12,True,https://www.amazon.in/Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNV41FT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-5,https://m.media-amazon.com/images/I/71wAXhzCmnS._AC_UY218_.jpg,Amazon
RT0006,Electronics Product,Electronics,616.05,19,499.0,4.2,2402,0.12,True,https://www.amazon.in/Dubstep-Pop-1200-Playtime-Bluetooth/dp/B0FCFWGB8V/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-6,https://m.media-amazon.com/images/I/71YG3ZhUwxL._AC_UY218_.jpg,Amazon
RT0007,Electronics Product,Electronics,1704.71,15,1449.0,4.1,2627,0.12,True,https://www.amazon.in/boAt-Stone-352-Pro-Bluetooth/dp/B0D6W7F7WH/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-7,https://m.media-amazon.com/images/I/71o6CU8MqVL._AC_UY218_.jpg,Amazon
RT0008,Electronics Product,Electronics,1123.75,20,899.0,4.1,2455,0.12,True,https://www.amazon.in/Portronics-SoundDrum-Portable-Bluetooth-Inbuilt-FM/dp/B097D69GJ1/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-8,https://m.media-amazon.com/images/I/61ygYGBZUBL._AC_UY218_.jpg,Amazon
RT0009,Electronics Product,Electronics,601.2,17,499.0,4.5,3598,0.12,True,https://www.amazon.in/HAMMER-Bluetooth-Speaker-Pairing-Playtime/dp/B0GMDNKHP5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-9,https://m.media-amazon.com/images/I/51O5FBgvdKL._AC_UY218_.jpg,Amazon
RT0010,Electronics Product,Electronics,1012.0,25,759.0,3.8,837,0.12,True,https://www.amazon.in/ZEBRONICS-90-Portable-Wireless-Bluetooth/dp/B0C6QY4TTP/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3rkJ8S_fhpNbIoVSue7RuR1MVGyOR0Vy8cHgzphlk8t801_21ZWh1OWfU7gCNi8A6Rw5U4Aw8FDNJrcg29KG1xVp-wxYaz-_YU29gjD9CUZTwn45IpN9CzERx0od-3nJ7-564MFFWGB-5A-6JevDFpHXu4gf19wnlkMyX-BBsgT-cjssGxO2QjggX1Tb15ukWBGz2MbtkUEWovb--39X-lbS3PCGZOyoUMdFdMjouq4.KPZkzOPvH-2DUmYtArkqdhyVs0cLNVAr2GEaAEDRWN8&dib_tag=se&keywords=bluetooth+speaker&qid=1773289733&sr=8-10,https://m.media-amazon.com/images/I/718mnMXpj5L._AC_UY218_.jpg,Amazon
