transaction_id,customer_id,product_id,product_price,emi_duration_months,monthly_emi,interest_rate,customer_income,customer_credit_score,existing_emi,max_affordable_emi,affordability_ratio,affordability_score,risk_level,approved,transaction_date
T00001,C0077,RT0282,679.0,6,119.18,0.18,41275.11,833,17993.56,9400.71,0.0127,1.0,Low,True,2025-09-26
T00002,C0250,RT0120,3577.0,12,311.16,0.08,34773.89,681,7046.23,8665.04,0.0359,1.0,Low,True,2025-09-21
T00003,C0409,RT0179,24998.0,12,2256.28,0.15,28691.84,631,8964.98,5965.42,0.3782,1.0,Low,True,2026-01-01
T00004,C0328,RT0122,20989.0,18,1241.3,0.08,62096.4,677,27222.5,12265.79,0.1012,1.0,Low,True,2025-09-17
T00005,C0186,RT0330,3699.0,6,634.61,0.1,26200.97,771,4793.54,9007.37,0.0705,1.0,Low,True,2025-11-15
T00006,C0344,RT0190,10499.0,36,363.95,0.15,30309.17,795,6437.19,9741.1,0.0374,1.0,Low,True,2025-11-29
T00007,C0200,RT0340,1299.0,3,440.24,0.1,61264.04,850,24470.39,17127.58,0.0257,1.0,Low,True,2025-07-15
T00008,C0054,RT0263,258.0,36,9.33,0.18,36255.71,589,21205.92,4975.04,0.0019,1.0,Low,True,2026-02-09
T00009,C0370,RT0371,549.0,36,17.71,0.1,17492.68,649,7483.0,4506.91,0.0039,1.0,Low,True,2026-01-24
T00010,C0212,RT0351,3699.0,36,119.36,0.1,61650.85,748,15203.46,17369.59,0.0069,1.0,Low,True,2026-01-11
T00011,C0339,RT0396,1249.0,12,109.81,0.1,80412.06,811,5710.9,27768.24,0.004,1.0,Low,True,2025-08-21
T00012,C0455,RT0165,7799.0,3,2664.93,0.15,41955.47,811,18396.1,8728.65,0.3053,1.0,Low,True,2026-01-14
T00013,C0197,RT0387,539.0,3,182.67,0.1,102440.9,497,20396.2,34797.79,0.0052,1.0,Low,True,2025-09-17
T00014,C0113,RT0321,489.0,36,17.68,0.18,55554.0,692,11813.27,14101.31,0.0013,1.0,Low,True,2025-07-01
T00015,C0128,RT0294,68378.0,9,8178.68,0.18,20944.06,653,4510.26,7069.42,1.1569,0.8644,Low,False,2025-03-26
T00016,C0375,RT0396,1249.0,24,57.64,0.1,20748.45,714,9111.96,4563.6,0.0126,1.0,Low,True,2025-10-27
T00017,C0009,RT0028,599.0,3,203.67,0.12,35670.77,490,20394.39,7355.78,0.0277,1.0,Low,True,2025-08-11
T00018,C0147,RT0319,36564.23,3,12555.53,0.18,23870.42,711,5223.8,8002.42,1.569,0.6374,Medium,True,2026-02-28
T00019,C0193,RT0206,113990.0,24,5526.99,0.15,35839.18,635,11729.92,9085.37,0.6083,1.1958,Low,True,2025-10-23
T00020,C0266,RT0079,5044.05,6,865.36,0.1,25735.87,801,12970.5,5883.55,0.1471,1.0,Low,True,2025-10-18
T00021,C0045,RT0336,12990.0,24,599.42,0.1,38566.83,756,6220.37,13069.96,0.0459,1.0,Low,True,2025-07-09
T00022,C0457,RT0344,8998.0,18,540.39,0.1,46959.05,693,15090.46,10681.65,0.0506,1.0,Low,True,2025-12-19
T00023,C0190,RT0437,1489.0,18,88.74,0.09,52382.33,773,26027.26,12241.52,0.0072,1.0,Low,True,2025-12-27
T00024,C0296,RT0053,33990.0,3,11519.36,0.1,52650.43,648,12128.6,14056.42,0.8195,1.0902,Low,True,2025-03-19
T00025,C0371,RT0438,425.0,12,37.17,0.09,34136.88,660,8940.13,11634.98,0.0032,1.0,Low,True,2026-01-02
T00026,C0081,RT0397,607.0,3,205.71,0.1,25246.21,694,6593.2,8604.86,0.0239,1.0,Low,True,2025-05-05
T00027,C0349,RT0171,15557.0,24,754.31,0.15,26804.44,734,6163.2,9602.03,0.0786,1.0,Low,True,2025-09-15
T00028,C0060,RT0215,18490.0,6,3190.42,0.12,38440.42,850,16677.6,8440.21,0.378,1.0,Low,True,2026-01-13
T00029,C0229,RT0253,1199.0,24,59.86,0.18,38290.12,850,3876.12,16478.07,0.0036,1.0,Low,True,2026-02-23
T00030,C0056,RT0127,33582.65,36,1052.36,0.08,34806.02,760,1709.89,12071.34,0.0872,1.0,Low,True,2025-12-19
T00031,C0144,RT0342,14998.0,6,2573.08,0.1,22237.63,754,7139.09,4592.81,0.5602,1.2199,Low,True,2025-11-29
T00032,C0131,RT0165,7799.0,3,2664.93,0.15,49245.29,762,9041.56,18134.06,0.147,1.0,Low,True,2025-10-16
