feature,importance_classifier,importance_regressor,importance_mean
emi_coverage,0.14976039473691272,0.677107865181409,0.41343412995916085
affordability_ratio,0.18253751274404284,0.2869146800487668,0.23472609639640482
risk_income_product,0.190791004962198,0.02160739247196348,0.10619919871708074
total_emi_to_income_ratio,0.09832889771017572,0.0017293668861667363,0.05002913229817123
affordability_quality,0.08242851771358664,0.005878186394980594,0.04415335205428362
remaining_income,0.06965621955465678,0.004634960002475475,0.03714558977856613
financial_health_score,0.05845792428467524,0.0007912083037278218,0.029624566294201533
monthly_emi,0.03947085086600903,0.0001165439816313821,0.019793697423820207
monthly_interest,0.023256027314260706,5.887087718672464e-05,0.011657449095723716
price_to_income_ratio,0.020112035747343382,0.0001806429770039447,0.010146339362173663
total_emi_burden,0.013561587080287667,8.664597516326694e-05,0.006824116527725467
income_age_ratio,0.007271329860168362,3.986016440873289e-05,0.0036555950122885475
emi_duration_months,0.006351439592424338,6.8631428308524e-05,0.003210035510366431
quality_score,0.005899383821499381,6.321659405081806e-05,0.0029813002077750993
max_affordable_emi,0.005805764856114215,7.78797216808909e-05,0.0029418222888975528
price_category_Luxury,0.0056942706109582,4.310657961309992e-06,0.002849290634459755
customer_income,0.005225324943655767,5.522081339049192e-05,0.0026402728785231296
rating,0.004746310735697574,4.227065551827974e-05,0.002394290695607927
num_reviews,0.004217715558348277,4.6758720699727926e-05,0.0021322371395240025
account_age_months,0.003801527651028913,7.586074298724686e-05,0.00193869419700808
existing_emi,0.0025777378381790002,4.7067815582315315e-05,0.0013124028268806578
customer_credit_score,0.0020192574729488394,5.921937704654137e-05,0.0010392384249976903
price_category_Budget,0.0018573334072337975,8.90210604840975e-09,0.000928671154669923
age,0.0014559275723377081,5.819384485431011e-05,0.0007570607085960092
credit_category_Fair,0.0014007682564480782,9.194533197126636e-06,0.0007049813948226024
price_category_Premium,0.0012642536608474177,7.027929195130386e-06,0.000635640795021274
age_category_Senior,0.001191097825523143,1.8018021744174412e-06,0.0005964498138487802
employment_type_Self-Employed,0.0010981701206538973,5.640286650945563e-06,0.0005519052036524214
age_category_Young,0.0009322108417595267,1.5084265218108802e-05,0.00047364755348881777
category_Laptops,0.0009325755669305108,1.2200469736333107e-05,0.000472388018333422
age_category_Experienced,0.000860622346888513,4.494931766789488e-05,0.00045278583227820397
duration_category_Medium,0.0008223377860768134,5.371872376966953e-06,0.0004138548292268902
interest_rate,0.0007622219422001396,2.4798670186645253e-05,0.00039351030619339244
duration_category_Short,0.0006584146438098925,8.477738344123793e-06,0.00033344619107700816
price_category_Mid-Range,0.0006630180077994372,1.8021597512360351e-06,0.00033241008377533665
employment_type_Salaried,0.0005342298267304288,8.422379421513585e-06,0.00027132610307597116
duration_category_Very Long,0.0005220366009089689,1.794841196524287e-07,0.00026110804251431067
employment_type_Business,0.00047801279515053433,1.9969254060592266e-06,0.00024000486027829677
credit_category_Poor,0.0003986430197679569,4.7129550685341227e-07,0.00019955715763740516
credit_category_Good,0.00037110529680908354,1.940611942540416e-05,0.00019525570811724385
age_category_Mid-Career,0.00030781772967434037,4.144780834175774e-06,0.00015598125525425807
category_Mobile Phones,0.0003013425978590336,8.510193123827121e-06,0.00015492639549143038
city_tier_Tier 1,0.00025745351404070626,7.7456000106199e-06,0.00013259955702566307
category_Home Appliances,0.00025518354160171657,2.4933857567157845e-06,0.00012883846367921619
city_tier_Tier 2,0.00020788599073794193,2.260189735552569e-05,0.0001152439440467338
city_tier_Tier 3,0.000202876944650896,1.5196499336272442e-05,0.00010903672199358423
credit_category_Excellent,0.00019835766307261678,1.9588383303768004e-05,0.00010897302318819239
category_Electronics,6.573816854379712e-05,9.78801732832612e-16,3.2869084272387964e-05
duration_category_Long,2.9328676771447302e-05,1.0871020657169432e-06,1.5207889418582123e-05
category_Fashion,0.0,5.513198321760303e-06,2.7565991608801514e-06
category_Furniture,0.0,1.3396171212451913e-06,6.698085606225956e-07
category_Sports Equipment,0.0,9.155532003428734e-08,4.577766001714367e-08
category_Kitchen Appliances,0.0,3.10717354845487e-16,1.553586774227435e-16
